"weight";"word";"color";"url"
"20";"Ждёт сына мать, а сыновей Земля";"";""
"15";"Бросайте, девушки, домашних мальчиков Не стоит им дарить свою любовь";"";""
"10";"Песня плывёт Сердце поёт";"";""
"7";"Ночь пройдёт, Пройдёт пора ненастная Солнце взойдёт";"";""
"10";"Ведь впереди ещё весь день Впереди целая жизнь";"";""
"5";"Но у меня зима в сердце, На душе вьюга";"";""
"3";"На метро не успеем сесть Будет город исписан весь Твоим именем, и моим именем, именем";"";""
"3";"А от черемухи - черный язык Мы будто чау-чау Разве что не кусаемся";"";""
"5";"Я ещё не разучился радоваться, Рисую осколками кирпичей";"";""
"3";"Если суета вокруг и всё валится из рук Выходи гулять, вынеси попить!";"";""
"10";"Звёзды лучше видны с крыши Полезай и проверь сам";"";""
"5";"Мне наплевать, что сугробы по пояс Как бронепоезд, настырно иду напролом";"";""
"3";"Только два вопроса меня волнуют «Какой сегодня день?» и «Какого хуя?»";"";""
"10";"Что бы мы ни делали в этой жизни Живыми нам не выйти";"";""
"3";"В прокуренном подъезде Время бежит так резво";"";""
"10";"Просто, не закрывай окно Дыши!";"";""
"3";"Нам не привыкать Падать и вставать, Строить и рушить.";"";""
"3";"И ответы на звонки тая Смогут длинные гудки научить меня Думать дважды";"";""
"3";"«Вот и всё» — точка — «Ну и что?» — вопрос";"";""
"3";"Время – океан Ты будь моим берегом";"";""
"5";"У правды острые края. Что если не хватит сил?";"";""
"5";"Двигаюсь уверенно, как стрелки на часах Откуда — не скажу, а куда — не знаю сам";"";""
"3";"You don't know my mind, you don't know my kind Dark necessities are part of my design";"";""
"10";"Dream of Californication";"";""
"5";"But that's not the shape Of my heart";"";""
"5";"Напитки покрепче Слова покороче";"";""
"5";"И лететь по белому свету, Став одним движением ветра";"";""
"7";"Don't you cry for the lost Smile for the living";"";""
