Широта,Долгота,Описание,Подпись,Номер метки
38.708103,-9.136686,На Праса-ду-Комерсиу,Автор,15
38.596775,-28.825177,Маяк Понта-душ-Капелиньуш,Оборот,14
38.593886,-28.710504,Команда,Обложка,13
38.641709,-27.975800,Вид на Фажа-душ-Кубреш,Декабрь,12
38.679413,-28.053395,Природный бассейн Симан-Диаш,Ноябрь,11
38.587219,-28.725614,Тропинка в облака,Октябрь,10
38.709590,-9.132289,Азулежу,Сентябрь,9
38.030192,-27.063230,Ночная вахта,Август,8
38.677506,-28.050439,Вид на Фажа-ду-Оувидор,Июль,7
38.528532,-28.318778,Якорь в Сан-Роки-ду-Пику,Июнь,6
38.717562,-9.143749,День в Лиссабоне,Май,5
38.402219,-28.398826,Курс на закат,Апрель,4
38.585545,-28.701517,Гортензия у кальдеры,Март,3
38.706627, -9.136099,Мальчик у океана,Февраль,2
38.680656,-28.197327,Вид на Велаш,Январь,1
